candidate,station_A_mm,station_U_mm,normalized_s,outer_diameter_mm,outer_radius_mm,inner_diameter_mm,inner_radius_mm
PRIMARY_106,275.0,-200.0,0.0,74.0,37.0,64.0,32.0
PRIMARY_106,285.0,-190.0,0.014310648409506643,74.01947271952035,37.009736359760176,64.0,32.0
PRIMARY_106,295.0,-180.0,0.028621296819013285,74.07714060752897,37.03857030376449,64.0,32.0
PRIMARY_106,305.0,-170.0,0.042931945228519924,74.17187825819727,37.085939129098634,64.0,32.0
PRIMARY_106,315.0,-160.0,0.05724259363802657,74.3025602656966,37.1512801328483,64.0,32.0
PRIMARY_106,325.0,-150.0,0.07155324204753322,74.46806122419837,37.23403061209918,64.0,32.0
PRIMARY_106,335.0,-140.0,0.08586389045703985,74.66725572787394,37.33362786393697,64.0,32.0
PRIMARY_106,345.0,-130.0,0.1001745388665465,74.8990183708947,37.44950918544735,64.0,32.0
PRIMARY_106,355.0,-120.0,0.11448518727605314,75.16222374743202,37.58111187371601,64.0,32.0
PRIMARY_106,365.0,-110.0,0.12879583568555977,75.45574645165732,37.72787322582866,64.0,32.0
PRIMARY_106,375.0,-100.0,0.14310648409506643,75.77846107774194,37.88923053887097,64.0,32.0
PRIMARY_106,385.0,-90.0,0.15741713250457307,76.12924221985728,38.06462110992864,64.0,32.0
PRIMARY_106,395.0,-80.0,0.1717277809140797,76.50696447217473,38.253482236087365,64.0,32.0
PRIMARY_106,405.0,-70.0,0.18603842932358636,76.91050242886566,38.45525121443283,64.0,32.0
PRIMARY_106,415.0,-60.0,0.200349077733093,77.33873068410145,38.669365342050725,64.0,32.0
PRIMARY_106,425.0,-50.0,0.21465972614259965,77.79052383205348,38.89526191602674,64.0,32.0
PRIMARY_106,435.0,-40.0,0.22897037455210628,78.26475646689315,39.13237823344657,64.0,32.0
PRIMARY_106,445.0,-30.0,0.2432810229616129,78.76030318279182,39.38015159139591,64.0,32.0
PRIMARY_106,455.0,-20.0,0.25759167137111955,79.27603857392089,39.63801928696044,64.0,32.0
PRIMARY_106,465.0,-10.0,0.27190231978062623,79.81083723445174,39.90541861722587,64.0,32.0
PRIMARY_106,475.0,0.0,0.28621296819013287,80.36357375855573,40.181786879277865,64.0,32.0
PRIMARY_106,485.0,10.0,0.3005236165996395,80.93312274040427,40.466561370202136,64.0,32.0
PRIMARY_106,495.0,20.0,0.31483426500914613,81.51835877416873,40.759179387084366,64.0,32.0
PRIMARY_106,505.0,30.0,0.32914491341865276,82.11815645402048,41.05907822701024,64.0,32.0
PRIMARY_106,515.0,40.0,0.3434555618281594,82.73139037413092,41.36569518706546,64.0,32.0
PRIMARY_106,525.0,50.0,0.3577662102376661,83.35693512867144,41.67846756433572,64.0,32.0
PRIMARY_106,535.0,60.0,0.3720768586471727,83.9936653118134,41.9968326559067,64.0,32.0
PRIMARY_106,545.0,70.0,0.38638750705667935,84.64045551772818,42.32022775886409,64.0,32.0
PRIMARY_106,555.0,80.0,0.400698155466186,85.29618034058718,42.64809017029359,64.0,32.0
PRIMARY_106,565.0,90.0,0.4150088038756926,85.95971437456177,42.979857187280885,64.0,32.0
PRIMARY_106,575.0,100.0,0.4293194522851993,86.62993221382334,43.31496610691167,64.0,32.0
PRIMARY_106,585.0,110.0,0.44363010069470593,87.30570845254327,43.652854226271636,64.0,32.0
PRIMARY_106,595.0,120.0,0.45794074910421256,87.98591768489294,43.99295884244647,64.0,32.0
PRIMARY_106,605.0,130.0,0.4722513975137192,88.66943450504372,44.33471725252186,64.0,32.0
PRIMARY_106,615.0,140.0,0.4865620459232258,89.35513350716703,44.67756675358351,64.0,32.0
PRIMARY_106,625.0,150.0,0.5008726943327325,90.0418892854342,45.0209446427171,64.0,32.0
PRIMARY_106,635.0,160.0,0.5151833427422391,90.72857643401665,45.36428821700832,64.0,32.0
PRIMARY_106,645.0,170.0,0.5294939911517458,91.41406954708575,45.70703477354287,64.0,32.0
PRIMARY_106,655.0,180.0,0.5438046395612525,92.09724321881288,46.04862160940644,64.0,32.0
PRIMARY_106,665.0,190.0,0.558115287970759,92.77697204336941,46.388486021684706,64.0,32.0
PRIMARY_106,675.0,200.0,0.5724259363802657,93.45213061492674,46.72606530746337,64.0,32.0
PRIMARY_106,685.0,210.0,0.5867365847897723,94.12159352765626,47.06079676382813,64.0,32.0
PRIMARY_106,695.0,220.0,0.601047233199279,94.78423537572934,47.39211768786467,64.0,32.0
PRIMARY_106,705.0,230.0,0.6153578816087856,95.43893075331735,47.719465376658675,64.0,32.0
PRIMARY_106,715.0,240.0,0.6296685300182923,96.0845542545917,48.04227712729585,64.0,32.0
PRIMARY_106,725.0,250.0,0.643979178427799,96.71998047372374,48.35999023686187,64.0,32.0
PRIMARY_106,735.0,260.0,0.6582898268373055,97.34408400488486,48.67204200244243,64.0,32.0
PRIMARY_106,745.0,270.0,0.6726004752468122,97.95573944224647,48.977869721123234,64.0,32.0
PRIMARY_106,755.0,280.0,0.6869111236563188,98.55382137997992,49.27691068998996,64.0,32.0
PRIMARY_106,765.0,290.0,0.7012217720658255,99.13720441225661,49.568602206128304,64.0,32.0
PRIMARY_106,775.0,300.0,0.7155324204753322,99.7047631332479,49.85238156662395,64.0,32.0
PRIMARY_106,785.0,310.0,0.7298430688848387,100.25537213712519,50.127686068562596,64.0,32.0
