station_A_mm,outer_diameter_mm,outer_radius_mm,inner_diameter_mm,inner_radius_mm
50.000000,74.000000,37.000000,64.000000,32.000000
52.000000,74.000000,37.000000,64.000000,32.000000
54.000000,74.000000,37.000000,64.000000,32.000000
56.000000,74.000000,37.000000,64.000000,32.000000
58.000000,74.000000,37.000000,64.000000,32.000000
60.000000,74.000000,37.000000,64.000000,32.000000
62.000000,74.000000,37.000000,64.000000,32.000000
64.000000,74.000000,37.000000,64.000000,32.000000
66.000000,74.000000,37.000000,64.000000,32.000000
68.000000,74.000000,37.000000,64.000000,32.000000
70.000000,74.000000,37.000000,64.000000,32.000000
72.000000,74.000000,37.000000,64.000000,32.000000
74.000000,74.000000,37.000000,64.000000,32.000000
76.000000,74.000000,37.000000,64.000000,32.000000
78.000000,74.000000,37.000000,64.000000,32.000000
80.000000,74.000000,37.000000,64.000000,32.000000
82.000000,74.000000,37.000000,64.000000,32.000000
84.000000,74.000000,37.000000,64.000000,32.000000
86.000000,74.000000,37.000000,64.000000,32.000000
88.000000,74.000000,37.000000,64.000000,32.000000
90.000000,74.000000,37.000000,64.000000,32.000000
92.000000,74.000000,37.000000,64.000000,32.000000
94.000000,74.000000,37.000000,64.000000,32.000000
96.000000,74.000000,37.000000,64.000000,32.000000
98.000000,74.000000,37.000000,64.000000,32.000000
100.000000,74.000000,37.000000,64.000000,32.000000
102.000000,74.000000,37.000000,64.000000,32.000000
104.000000,74.000000,37.000000,64.000000,32.000000
106.000000,74.000000,37.000000,64.000000,32.000000
108.000000,74.000000,37.000000,64.000000,32.000000
110.000000,74.000000,37.000000,64.000000,32.000000
112.000000,74.000000,37.000000,64.000000,32.000000
114.000000,74.000000,37.000000,64.000000,32.000000
116.000000,74.000000,37.000000,64.000000,32.000000
118.000000,74.000000,37.000000,64.000000,32.000000
120.000000,74.000000,37.000000,64.000000,32.000000
122.000000,74.000000,37.000000,64.000000,32.000000
124.000000,74.000000,37.000000,64.000000,32.000000
126.000000,74.000000,37.000000,64.000000,32.000000
128.000000,74.000000,37.000000,64.000000,32.000000
130.000000,74.000000,37.000000,64.000000,32.000000
132.000000,74.000000,37.000000,64.000000,32.000000
134.000000,74.000000,37.000000,64.000000,32.000000
136.000000,74.000000,37.000000,64.000000,32.000000
138.000000,74.000000,37.000000,64.000000,32.000000
140.000000,74.000000,37.000000,64.000000,32.000000
142.000000,74.000000,37.000000,64.000000,32.000000
144.000000,74.000000,37.000000,64.000000,32.000000
146.000000,74.000000,37.000000,64.000000,32.000000
148.000000,74.000000,37.000000,64.000000,32.000000
150.000000,74.000000,37.000000,64.000000,32.000000
152.000000,74.000000,37.000000,64.000000,32.000000
154.000000,74.000000,37.000000,64.000000,32.000000
156.000000,74.000000,37.000000,64.000000,32.000000
158.000000,74.000000,37.000000,64.000000,32.000000
160.000000,74.000000,37.000000,64.000000,32.000000
162.000000,74.000000,37.000000,64.000000,32.000000
164.000000,74.000000,37.000000,64.000000,32.000000
166.000000,74.000000,37.000000,64.000000,32.000000
168.000000,74.000000,37.000000,64.000000,32.000000
170.000000,74.000000,37.000000,64.000000,32.000000
172.000000,74.000000,37.000000,64.000000,32.000000
174.000000,74.000000,37.000000,64.000000,32.000000
176.000000,74.000000,37.000000,64.000000,32.000000
178.000000,74.000000,37.000000,64.000000,32.000000
180.000000,74.000000,37.000000,64.000000,32.000000
182.000000,74.000000,37.000000,64.000000,32.000000
184.000000,74.000000,37.000000,64.000000,32.000000
186.000000,74.000000,37.000000,64.000000,32.000000
188.000000,74.000000,37.000000,64.000000,32.000000
190.000000,74.000000,37.000000,64.000000,32.000000
192.000000,74.000000,37.000000,64.000000,32.000000
194.000000,74.000000,37.000000,64.000000,32.000000
196.000000,74.000000,37.000000,64.000000,32.000000
198.000000,74.000000,37.000000,64.000000,32.000000
200.000000,74.000000,37.000000,64.000000,32.000000
202.000000,74.000000,37.000000,64.000000,32.000000
204.000000,74.000000,37.000000,64.000000,32.000000
206.000000,74.000000,37.000000,64.000000,32.000000
208.000000,74.000000,37.000000,64.000000,32.000000
210.000000,74.000000,37.000000,64.000000,32.000000
212.000000,74.000000,37.000000,64.000000,32.000000
214.000000,74.000000,37.000000,64.000000,32.000000
